[Fri Mar 16 17:14:32.056801 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  28. Illuminate\\Routing\\Router->runRouteWithinStack() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Router.php:635, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056813 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  29. Illuminate\\Routing\\Pipeline->then() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Router.php:660, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056825 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  30. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:102, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056838 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  31. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056851 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  32. Illuminate\\Routing\\Middleware\\ThrottleRequests->handle() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056865 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  33. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Middleware/ThrottleRequests.php:57, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056877 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  34. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056889 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  35. Illuminate\\Routing\\Middleware\\SubstituteBindings->handle() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056901 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  36. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Middleware/SubstituteBindings.php:41, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056912 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  37. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056924 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  38. Barryvdh\\Cors\\HandleCors->handle() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056943 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  39. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/barryvdh/laravel-cors/src/HandleCors.php:58, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056956 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  40. Illuminate\\Routing\\Router->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:30, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056968 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  41. Illuminate\\Routing\\Route->run() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Router.php:658, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056980 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  42. Illuminate\\Routing\\Route->runController() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Route.php:169, referer: http://localhost:3000/
